pop_generation 70 1
values 1 216.350037 450.087769 
values 2 193.339417 388.502319 
values 3 -99.8168945 428.847168 
values 4 -490.753021 395.82666 
values 5 450.911743 69.8939209 
values 6 189.921387 193.67511 
values 7 -318.020905 -258.602295 
values 8 -300.344452 139.345383 
values 9 145.792297 428.358887 
values 10 -312.649719 47.5547485 
values 11 -494.781403 -333.798737 
values 12 403.364624 109.750488 
values 13 461.104736 -99.1149902 
values 14 -500 -320.798035 
values 15 458.114014 -19.5849609 
values 16 251.506836 453.994019 
values 17 420.027466 -190.485992 
values 18 137.369324 448.256653 
values 19 260.17395 448.012512 
values 20 -319.607849 150.94989 
values 21 206.645325 -500 
values 22 -293.606476 133.005249 
values 23 93.8505859 217.723328 
values 24 182.536072 22.7130737 
values 25 -266.079193 -47.9667358 
values 26 -354.276337 -500 
values 27 -340.604248 -45.8304749 
values 28 -149.988556 69.1004639 
values 29 -355.436035 -141.229889 
values 30 181.925659 180.247192 
values 31 208.131409 -163.569092 
values 32 137.6745 215.648132 
values 33 369.733704 -57.183197 
values 34 122.476562 284.618896 
values 35 78.5916138 -152.033264 
values 36 -263.820862 -169.245453 
values 37 -32.9213257 241.832581 
values 38 46.0593872 243.663696 
values 39 -312.77179 -459.411011 
values 40 -123.01062 106.820801 
values 41 -500 -132.684814 
values 42 97.3296509 166.025818 
values 43 55.0927124 -241.451141 
values 44 -368.070496 239.399109 
values 45 135.78241 -142.206451 
values 46 460.978882 -283.21698 
values 47 -362.394135 270.409027 
values 48 477.218262 -180.65918 
values 49 -397.754242 367.444885 
values 50 -458.770111 437.178589 
values 51 120.584412 241.527405 
values 52 -259.853516 -193.110565 
values 53 27.5654297 -60.479126 
values 54 193.339417 388.502319 
values 55 -232.753479 351.5755 
values 56 216.350037 450.087769 
values 57 -217.189301 488.723572 
values 58 -102.075226 -449.889374 
values 59 -172.449829 -211.177246 
values 60 17.7122612 435.672668 
values 61 -132.288086 -167.444885 
values 62 -256.958435 414.14801 
values 63 -242.397186 301.89209 
values 64 499.008179 -188.654907 
values 65 412.255524 -494.729004 
values 66 307.293823 133.798706 
values 67 103.685966 400.840637 
values 68 -196.681091 -142.55011 
values 69 450.911743 69.8939209 
values 70 -10.1634436 416.50885 
pop_generation 70 2
values 1 412.255524 -494.729004 
values 2 216.350037 452.808044 
values 3 216.350037 450.087769 
values 4 -256.958435 414.14801 
values 5 460.978882 -283.21698 
values 6 193.339417 388.502319 
values 7 193.339417 388.502319 
values 8 -99.8168945 428.847168 
values 9 -500 -320.798035 
values 10 -490.753021 395.82666 
values 11 -10.1634436 416.50885 
values 12 206.645325 -500 
values 13 500 435.672668 
values 14 450.911743 -272.243835 
values 15 450.911743 69.8939209 
values 16 189.921387 145.367554 
values 17 -318.020905 -258.602295 
values 18 -69.2959747 428.358887 
values 19 -312.649719 -294.091339 
values 20 -494.781403 -333.798737 
values 21 103.685966 400.840637 
values 22 -500 -132.684814 
values 23 -146.636902 -111.696945 
values 24 -500 180.247192 
values 25 464.950073 -122.404984 
values 26 458.114014 -19.5849609 
values 27 251.506836 453.994019 
values 28 420.027466 -190.485992 
values 29 137.369324 448.256653 
values 30 260.17395 448.012512 
values 31 -319.607849 150.94989 
values 32 -300.344452 139.345383 
values 33 -354.276337 -500 
values 34 -293.606476 133.005249 
values 35 208.131409 -163.569092 
values 36 93.8505859 500 
values 37 -458.770111 437.178589 
values 38 -316.548218 -229.513245 
values 39 412.255524 -494.729004 
values 40 -202.113373 -45.8304749 
values 41 -149.988556 69.1004639 
values 42 -355.436035 -141.229889 
values 43 137.6745 215.648132 
values 44 369.733704 -57.183197 
values 45 78.5916138 -152.033264 
values 46 -263.820862 -169.245453 
values 47 -32.9213257 241.832581 
values 48 -132.288086 -500 
values 49 46.0593872 243.663696 
values 50 -312.77179 -459.411011 
values 51 -123.01062 106.820801 
values 52 -41.4328156 445.076385 
values 53 55.0927124 -241.451141 
values 54 135.78241 -142.206451 
values 55 412.255524 -494.729004 
values 56 477.218262 -180.65918 
values 57 181.206696 447.41922 
values 58 -259.853516 -193.110565 
values 59 27.5654297 -60.479126 
values 60 189.921387 193.67511 
values 61 336.011292 351.5755 
values 62 -217.189301 488.723572 
values 63 82.2537842 367.444885 
values 64 -362.394135 270.409027 
values 65 -221.815094 416.816559 
values 66 -172.449829 -211.177246 
values 67 -202.774902 361.51709 
values 68 499.008179 -188.654907 
values 69 406.795349 -230.58606 
values 70 -256.958435 414.14801 
pop_generation 70 3
values 1 -312.649719 -294.091339 
values 2 412.255524 -494.729004 
values 3 412.255524 -494.729004 
values 4 -279.715363 -495.270203 
values 5 450.911743 -272.243835 
values 6 216.350037 450.087769 
values 7 -256.958435 414.14801 
values 8 -3.40139771 -310.81604 
values 9 460.978882 -283.21698 
values 10 -500 388.502319 
values 11 193.339417 388.502319 
values 12 216.350037 452.808044 
values 13 -500 447.41922 
values 14 -99.8168945 428.847168 
values 15 -500 -320.798035 
values 16 -490.753021 395.82666 
values 17 -10.1634436 416.50885 
values 18 206.645325 -500 
values 19 450.911743 69.8939209 
values 20 189.921387 193.67511 
values 21 -318.020905 -258.602295 
values 22 -69.2959747 428.358887 
values 23 -41.4328156 -500 
values 24 -500 180.247192 
values 25 464.950073 -122.404984 
values 26 -494.781403 -333.798737 
values 27 103.685966 400.840637 
values 28 -132.288086 -500 
values 29 30.5548706 341.932648 
values 30 406.795349 -230.58606 
values 31 -457.824066 -19.5849609 
values 32 -221.815094 416.816559 
values 33 251.506836 500 
values 34 420.027466 -190.485992 
values 35 137.369324 448.256653 
values 36 319.426208 471.766174 
values 37 -319.607849 150.94989 
values 38 500 496.749817 
values 39 -300.344452 139.345383 
values 40 -354.276337 -500 
values 41 -293.606476 133.005249 
values 42 -146.636902 -111.696945 
values 43 208.131409 -163.569092 
values 44 103.906113 170.439163 
values 45 82.2537842 367.444885 
values 46 -458.770111 437.178589 
values 47 -149.988556 69.1004639 
values 48 189.921387 145.367554 
values 49 -209.681854 -141.229889 
values 50 137.6745 215.648132 
values 51 369.733704 -57.183197 
values 52 78.5916138 -152.033264 
values 53 343.997253 -165.531693 
values 54 -32.9213257 241.832581 
values 55 46.0593872 243.663696 
values 56 -95.8084564 -459.411011 
values 57 -123.01062 106.820801 
values 58 55.0927124 -241.451141 
values 59 -256.958435 -403.841309 
values 60 477.218262 -180.65918 
values 61 464.858459 -193.110565 
values 62 298.185944 -248.659348 
values 63 -202.774902 318.154388 
values 64 336.011292 351.5755 
values 65 93.8505859 500 
values 66 412.255524 323.260315 
values 67 -217.189301 -167.450317 
values 68 284.608307 120.890465 
values 69 -172.449829 -211.177246 
values 70 499.008179 -170.763702 
pop_generation 70 4
values 1 -312.649719 -294.091339 
values 2 -234.676117 -494.729004 
values 3 412.255524 -494.729004 
values 4 -500 447.41922 
values 5 450.911743 -272.243835 
values 6 216.350037 -500 
values 7 -256.958435 414.14801 
values 8 460.978882 -101.415085 
values 9 193.339417 388.502319 
values 10 216.350037 452.808044 
values 11 -500 439.787689 
values 12 -99.8168945 428.847168 
values 13 -500 -320.798035 
values 14 -490.753021 395.82666 
values 15 -10.1634436 416.50885 
values 16 206.645325 -500 
values 17 450.911743 69.8939209 
values 18 189.921387 193.67511 
values 19 -279.715363 -495.270203 
values 20 -318.020905 -258.602295 
values 21 -69.3474197 474.302582 
values 22 -500 180.247192 
values 23 464.950073 -122.404984 
values 24 -494.781403 -333.798737 
values 25 -319.699951 -44.4192505 
values 26 -132.288086 -500 
values 27 -3.40139771 -310.81604 
values 28 189.37207 -230.58606 
values 29 -221.815094 416.816559 
values 30 420.027466 -190.485992 
values 31 137.369324 448.256653 
values 32 -319.607849 150.94989 
values 33 -300.344452 139.345383 
values 34 -354.276337 -500 
values 35 412.255524 -499.4729 
values 36 -41.4328156 -500 
values 37 -221.815094 416.816559 
values 38 208.131409 -163.569092 
values 39 412.255524 323.260315 
values 40 82.2537842 367.444885 
values 41 -458.770111 437.178589 
values 42 -149.988556 -500 
values 43 189.921387 474.410645 
values 44 443.915802 -254.297272 
values 45 369.733704 -57.183197 
values 46 78.5916138 -152.033264 
values 47 -32.9213257 241.832581 
values 48 46.0593872 243.663696 
values 49 -123.01062 106.820801 
values 50 391.672455 31.809021 
values 51 103.906113 170.439163 
values 52 450.911743 -7.96741247 
values 53 -500 -180.65918 
values 54 -209.681854 -141.229889 
values 55 319.426208 471.766174 
values 56 304.272522 341.932648 
values 57 343.997253 134.39122 
values 58 336.011292 351.5755 
values 59 93.8505859 500 
values 60 -95.8084564 -459.411011 
values 61 450.911743 -194.382507 
values 62 200.335358 370.555756 
values 63 -99.8168945 428.847168 
values 64 499.008179 -170.763702 
values 65 298.185944 -248.659348 
values 66 -172.449829 -211.177246 
values 67 -256.958435 -426.1297 
values 68 500 -500 
values 69 284.608307 120.890465 
values 70 -132.288086 -495.256104 
pop_generation 70 5
values 1 412.255524 -499.4729 
values 2 -312.649719 -294.091339 
values 3 49.3980103 478.568481 
values 4 412.255524 -494.729004 
values 5 -500 447.41922 
values 6 450.911743 -272.243835 
values 7 -256.958435 500 
values 8 193.339417 388.502319 
values 9 216.350037 -500 
values 10 -99.8168945 428.847168 
values 11 -99.8168945 428.847168 
values 12 -500 -320.798035 
values 13 -490.753021 395.82666 
values 14 -10.1634436 416.50885 
values 15 -360.80719 -254.297272 
values 16 294.146179 -377.938965 
values 17 450.911743 69.8939209 
values 18 366.620911 193.67511 
values 19 -279.715363 -500 
values 20 -318.020905 -258.602295 
values 21 216.350037 -500 
values 22 200.335358 370.555756 
values 23 -500 180.247192 
values 24 464.950073 -122.404984 
values 25 450.911743 -7.96741247 
values 26 134.365143 -333.798737 
values 27 391.672455 31.809021 
values 28 -132.288086 -500 
values 29 460.978882 -101.415085 
values 30 -113.547295 -65.8035583 
values 31 189.921387 474.410645 
values 32 -221.815094 416.816559 
values 33 -221.815094 416.816559 
values 34 -319.699951 -44.4192505 
values 35 -132.288086 -495.256104 
values 36 500 -190.485992 
values 37 -149.988556 -500 
values 38 137.369324 448.256653 
values 39 -319.607849 -49.6824646 
values 40 -300.344452 139.345383 
values 41 -354.276337 -500 
values 42 -41.4328156 -500 
values 43 208.131409 -163.569092 
values 44 -136.438538 323.260315 
values 45 82.2537842 367.444885 
values 46 -458.770111 437.178589 
values 47 450.911743 -194.382507 
values 48 369.733704 -57.183197 
values 49 78.5916138 -152.033264 
values 50 189.37207 -230.58606 
values 51 -32.9213257 241.832581 
values 52 46.0593872 243.663696 
values 53 -500 -180.65918 
values 54 261.74118 475.171356 
values 55 -123.01062 106.820801 
values 56 -234.676117 -494.729004 
values 57 103.906113 170.439163 
values 58 -371.53717 -306.929657 
values 59 -209.681854 -141.229889 
values 60 319.426208 473.03421 
values 61 336.011292 351.5755 
values 62 60.9577713 284.995667 
values 63 96.0479126 -459.411011 
values 64 -344.607727 -152.985657 
values 65 499.008179 -170.763702 
values 66 -435.893951 -320.960388 
values 67 -172.449829 -211.177246 
values 68 189.921387 405.329956 
values 69 -99.8168945 217.192322 
values 70 304.272522 341.932648 
pop_generation 70 6
values 1 412.255524 -499.4729 
values 2 -312.649719 -294.091339 
values 3 189.921387 405.329956 
values 4 412.255524 -494.729004 
values 5 -500 -337.582977 
values 6 450.911743 -272.243835 
values 7 193.339417 388.502319 
values 8 -99.8168945 428.847168 
values 9 -99.8168945 428.847168 
values 10 -500 -320.798035 
values 11 -490.753021 395.82666 
values 12 -353.636566 -500 
values 13 -10.1634436 416.50885 
values 14 450.911743 69.8939209 
values 15 -318.020905 -258.602295 
values 16 216.350037 -500 
values 17 216.350037 -500 
values 18 200.335358 370.555756 
values 19 -371.363281 112.849892 
values 20 464.950073 -122.404984 
values 21 500 -7.96741247 
values 22 391.672455 31.809021 
values 23 366.620911 425.398621 
values 24 -132.288086 -500 
values 25 460.978882 -101.415085 
values 26 189.921387 474.410645 
values 27 -221.815094 416.816559 
values 28 -221.815094 416.816559 
values 29 -319.699951 -92.0317459 
values 30 -132.288086 -495.256104 
values 31 -99.8168945 348.646606 
values 32 -214.538544 294.745056 
values 33 121.840698 -500 
values 34 137.369324 339.337769 
values 35 -300.344452 500 
values 36 -354.276337 -500 
values 37 -41.4328156 -500 
values 38 208.131409 500 
values 39 -313.135254 -290.883331 
values 40 82.2537842 367.444885 
values 41 -477.039581 -155.694519 
values 42 -344.607727 -152.985657 
values 43 450.911743 -194.382507 
values 44 49.3980103 478.568481 
values 45 369.733704 -57.183197 
values 46 78.5916138 -152.033264 
values 47 -500 180.247192 
values 48 189.37207 -230.58606 
values 49 -32.9213257 241.832581 
values 50 46.0593872 243.663696 
values 51 -113.547295 -65.8035583 
values 52 -500 -180.65918 
values 53 -123.01062 106.820801 
values 54 -234.676117 -494.729004 
values 55 -188.563354 -254.297272 
values 56 -312.649719 -479.409119 
values 57 261.74118 475.171356 
values 58 -256.958435 500 
values 59 -209.681854 197.852539 
values 60 -435.893951 -320.960388 
values 61 335.575958 -163.595642 
values 62 -354.276337 -500 
values 63 336.011292 351.5755 
values 64 60.9577713 284.995667 
values 65 499.008179 -170.763702 
values 66 500 -459.411011 
values 67 -172.449829 -211.177246 
values 68 266.600983 138.533386 
values 69 -317.53537 -261.810303 
values 70 216.350037 -314.68219 
pop_generation 70 7
values 1 412.255524 -499.4729 
